basename,ha_gas,a_gas,href_gas,ref_gas,ha_sp,a_sp,href_sp,ref_sp,pka_ref,pka,delta_G_soln_kcal_mol
1a,1a_pka.log,1a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,1a_pka_sp.log,1a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,-10.450489957011873,-28.718064309088845
2a,2a_pka.log,2a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,2a_pka_sp.log,2a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,-5.115397696816556,-21.43968157614081
3a,3a_pka.log,3a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,3a_pka_sp.log,3a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,-4.211485312382713,-20.206521966128683
4a,4a_pka.log,4a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,4a_pka_sp.log,4a_pka_cb_sp_smd_TetraHydroFuran.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,-593.2675663215225,-823.8244164011919
5a,5a_pka.log,5a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,5a_pka_sp.log,5a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,-0.4203995020225886,-15.03454514632402
6a,6a_pka.log,6a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,6a_pka_sp.log,6a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,-0.25075788345895766,-14.80311210503343
7a,7a_pka.log,7a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,7a_pka_sp.log,7a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,0.8098956111740225,-13.356118931443017
8a,8a_pka.log,8a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,8a_pka_sp.log,8a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,5.775547103134263,-6.581744597455787
9a,9a_pka.log,9a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,9a_pka_sp.log,9a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,10.798234978290674,0.2704414418138586
10a,10a_pka.log,10a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,10a_pka_sp.log,10a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,2.9183707534246413,-10.47963839094619
11a,11a_pka.log,11a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,11a_pka_sp.log,11a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,6.072282195473087,-6.1769246867576415
12a,12a_pka.log,12a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,12a_pka_sp.log,12a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,5.99971929703901,-6.275918391319353
13a,13a_pka.log,13a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,13a_pka_sp.log,13a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,12.875923017791159,3.1049207748103167
14a,14a_pka.log,14a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,14a_pka_sp.log,14a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,9.57118888937476,-1.403552301973818
15a,15a_pka.log,15a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,15a_pka_sp.log,15a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,15.38213935032574,6.5240184754908
16a,16a_pka.log,16a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,16a_pka_sp.log,16a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,10.60040669143857,0.0005548275080859151
17a,17a_pka.log,17a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,17a_pka_sp.log,17a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,9.352972917384873,-1.7012527512115072
18a,18a_pka.log,18a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,18a_pka_sp.log,18a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,12.194251509009877,2.174952576120782
19a,19a_pka.log,19a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,19a_pka_sp.log,19a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,11.532259107917485,1.271831537820819
20a,20a_pka.log,20a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,20a_pka_sp.log,20a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,16.21990070371767,7.666931750740469
21a,21a_pka.log,21a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,21a_pka_sp.log,21a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,22.518657723220983,16.259991082034915
22a,22a_pka.log,22a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,22a_pka_sp.log,22a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,22.050913470289814,15.621872465161125
23a,23a_pka.log,23a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,23a_pka_sp.log,23a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,20.469282850206806,13.464137896819732
24a,24a_pkaf_opt.log,24a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,24a_pka_sp.log,24a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,25.448915002020257,20.257585301769584
25a,25a_pka.log,25a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,25a_pka_sp.log,25a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,24.114262116709348,18.43678932652424
26a,26a_pka.log,26a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,26a_pka_sp.log,26a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,26.61129943502256,21.843364586100428
27a,27a_pka.log,27a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,27a_pka_sp.log,27a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,31.833943129539257,28.9683397191675
28a,28a_pka.log,28a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,28a_pka_sp.log,28a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,22.730374966980662,16.54882566184992
29a,29a_pka.log,29a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,29a_pka_sp.log,29a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,31.45586812486991,28.45255209047448
30a,30a_pka.log,30a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,30a_pka_sp.log,30a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,24.15757951186678,18.49588494578886
31a,31a_pka.log,31a_pka_cbr_opt.log,phenol_pka.log,phenol_pka_cb.log,31a_pka_sp.log,31a_pka_cbr_opt_sp_smd_TetraHydroFuran.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,-328.6710551243469,-462.849463322253
32a,32a_pka.log,32a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,32a_pka_sp.log,32a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,-17.694004744407444,-38.600006435522396
33a,33a_pka.log,33a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,33a_pka_sp.log,33a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,-23.10313633943577,-45.97939709671718
34a,34a_pka.log,34a_pka_cb.log,phenol_pka.log,phenol_pka_cb.log,34a_pka_sp.log,34a_pka_cb_sp.log,phenol_pka_sp.log,phenol_pka_cb_sp.log,10.6,-12.22382923218307,-31.137336803467807
